OID,fire_name,Shape_Leng,Shape_Area,Year,State,Acreage,Structures,Fatalities,Evacuation,Time_Burni,Economic_C,Cause_Flag,Cause_Text,Links,Notes
0,Hayman Fire,204941.886047999985749,989898836.985000014305115,2002,CO,138114,133,6,5340,4,79502800.000000000000000,Human,Arson,https://en.wikipedia.org/wiki/Hayman_Fire, 
1,McNally Fire,309987.123533000005409,973106646.856999993324280,2002,CA,150696,17,0,100,5,45700000.000000000000000,Human,Illegal camping fire,https://en.wikipedia.org/wiki/McNally_Fire, 
2,Cedar Fire,339507.752664999978151,1661391616.119999885559082,2003,CA,273246,2820,15,39000,5,1300000000.000000000000000,Human,Signal Fire,https://en.wikipedia.org/wiki/Cedar_Fire, 
3,Esperanza Fire,101816.884674000000814,243151246.882999986410141,2006,CA,41173,59,5,2535,1,9000000.000000000000000,Human,Arson,https://en.wikipedia.org/wiki/Esperanza_Fire, 
4,Wallow Fire,738954.916487999958917,3161861820.090000152587891,2011,AZ,538049,72,0,7278,6,109000000.000000000000000,Human,Illegal camping fire,https://en.wikipedia.org/wiki/Wallow_Fire,Largest single fire ever recorded in the lower 48 states.
5,Las Conchas Fire,440306.316193000006024,967018461.031000018119812,2011,NM,156593,49,0,12000,5,48500000.000000000000000,Human,Downed Power Lines,https://en.wikipedia.org/wiki/Las_Conchas_Fire, 
6,Bastrop County Complex,82296.589565400005085,190303979.250999987125397,2011,TX,34356,1731,4,5000,4,325000000.000000000000000,Human,Sparkrs from damaged power lines,https://en.wikipedia.org/wiki/Bastrop_County_Complex_Fire,"Circumstances were further exacerbated by Tropical Storm Lee, which produced strong winds over the Labor Day weekend, creating ideal conditions for wildfires to spread.[18] Between September 4 and September 6, reports indicated that 63 new fires were s"
7,Old Fire,15103.434445299999425,5705265.543130000121891,2003,CA,91281,975,6,23000,1,1200000000.000000000000000,Human,Arson,https://en.wikipedia.org/wiki/Old_Fire, 
8,Waldo Canyon Fire,194277.180790999991586,122298447.033000007271767,2012,CO,18247,346,2,32000,3,453700000.000000000000000,Human,Unknown Human,https://en.wikipedia.org/wiki/Waldo_Canyon_Fire,The largest wildfire in New Mexico state history
9,Yarnell Hill Fire,41462.946241899997403,47225897.278200000524521,2013,AZ,8400,129,19,1300,3,900000000.000000000000000,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Yarnell_Hill_Fire,"Yarnell also killed more firefighters than any incident since the September 11 attacks on 9/11. That disaster killed 343 firefighters. The Yarnell Hill Fire is the sixth-deadliest American firefighter disaster in history, the deadliest wildfire ever"
10,Black Forest Fire,149657.201475000008941,88122837.088100001215935,2013,CO,14280,511,2,38000,1,90000000.000000000000000,Human,Unknown Human,https://en.wikipedia.org/wiki/Black_Forest_Fire, 
11,Rim Fire,434286.123703000019304,1672767553.000000000000000,2013,CA,257314,112,0,15140,10,127000000.000000000000000,Human,Illegal camping fire,https://en.wikipedia.org/wiki/Rim_Fire,The United States Forest Service made it their highest priority fire at the time because of the threat to local communities and its proximity to Yosemite National Park.
12,Carlton Complex,657563.888889999943785,2330696539.530000209808350,2014,WA,256108,502,2,3091,5,98000000.000000000000000,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Carlton_Complex_Fire, 
13,Okanogan Complex,1366138.513079999946058,2867484118.630000114440918,2015,WA,145282,120,3,2619,4,44500000.000000000000000,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Okanogan_Complex_Fire, 
14,Thomas Fire,534069.191012999974191,1681719663.859999895095825,2017,CA,270000,1063,23,104607,6,2200000000.000000000000000,Human,Downed Power Lines,https://en.wikipedia.org/wiki/Thomas_Fire,Largest wildfire in modern California history at the time
15,Lodgepole Complex,458520.657021999999415,2371714487.619999885559082,2017,MT,270000,16,0,54,2,2000000.000000000000000,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Lodgepole_Complex_Fire, 
16,Lolo Peak Fire,467850.874040999973658,462618244.834999978542328,2017,MT,53902,2,1,3000,8,34600000.000000000000000,Natural,Lightning Strikes,https://en.wikipedia.org/wiki/Lolo_Peak_Fire,Multiple civilian drones preventing fire fighting efforts due to mid air collision safety concerns
17,Carr Fire,123952.435475000005681,328777096.055999994277954,2018,CA,229651,1604,8,38000,5,1659000000.000000000000000,Human,Sparks from tire failure of a vehicle,https://en.wikipedia.org/wiki/Carr_Fire,seventh-largest wildfire recorded in modern California history
18,Woolsey Fire,250299.909248999989359,573850478.146999955177307,2018,CA,96949,1643,3,295000,2,6000000000.000000000000000,Human,Under Investigation,https://en.wikipedia.org/wiki/Woolsey_Fire, 
19,Camp Fire,405925.626579999981914,1051100904.789999961853027,2018,CA,153336,18804,85,52000,3,16500000000.000000000000000,Human,Electrical Transmission by PG&E,https://en.wikipedia.org/wiki/Camp_Fire_(2018),the most expensive natural disaster in the world in 2018 in terms of insured losses
20,Mendocino Complex,450086.786837999999989,2774859060.579999923706055,2018,CA,459123,229,2,13916,15,267000000.000000000000000,Human,Ranch Fire caused by man trying to plug the entrance of a wasp nest with a hammer and stake,https://en.wikipedia.org/wiki/Mendocino_Complex_Fire, 
21,Whitewater Baldy Complex,1116513.053569999989122,1730419827.099999904632568,2012,NM,289478,12,0,1000,18,23000000.000000000000000,Natural,Lightning Strikes, https://en.wikipedia.org/wiki/Whitewater%E2%80%93Baldy_complex_Fire,Largest wildfire in New Mexico history
