FID,STUSPS,NAME,STATE_NAME,STATE_FIPS,STATE_ABBR,POPULATION,SQMI,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,Shape_Leng,Shape_Area
25,AK,Alaska,Alaska,2,AK,750876,581369.17,2498159,410683,653023,496467,5111404,233561,1316876,286887,293018,1125419,40463168.2,8.35E+12
50,AZ,Arizona,Arizona,4,AZ,7132147,113997.77,384942,165356,429564,308245,160152,205199,105281,216090,1016428,76318,2806686.805,4.34E+11
12,CA,California,California,6,CA,39806791,158144.83,259148,1823153,1266224,560815,893362,555044,577675,869599,126854,109529,5047230.194,6.51E+11
42,CO,Colorado,Colorado,8,CO,5711572,104093.95,40392,475803,116667,129495,22602,24949,195145,246445,161167,44020,2707335.874,4.47E+11
23,ID,Idaho,Idaho,16,ID,1760131,83570.14,284026,604481,686262,361649,804094,189430,722204,1667654,384103,642997,3716902.299,4.25E+11
27,MT,Montana,Montana,30,MT,1068947,147042.71,64835,97814,1366498,114594,351264,38118,124209,1220655,168010,56711,4204598.767,8.20E+11
32,NV,Nevada,Nevada,32,NV,3025735,110561.37,82282,1001966,1329289,265156,42479,59252,162907,613126,424170,23869,3016395.147,4.80E+11
10,NM,New Mexico,New Mexico,35,NM,2147526,121588.62,79887,382344,1329289,212425,44104,23440,221951,372497,1286487,233056,2885723.863,4.64E+11
16,OR,Oregon,Oregon,41,OR,4185014,97076.81,79732,897262,714520,219509,685809,984629,350786,1256049,285712,93731,3124516.507,4.85E+11
11,TX,Texas,Texas,48,TX,28954616,264778.77,215493,569811,734682,356680,184418,131138,10743,179602,2722623,210320,5439915.265,9.57E+11
38,UT,Utah,Utah,49,UT,3183796,84898.13,92380,438983,249829,101096,10203,28255,70282,415267,62783,64781,2556571.545,3.68E+11
6,WA,Washington,Washington,53,WA,7452102,67620.68,169742,438833,404226,293717,1137664,386972,152603,259526,17480,56820,3151693.35,3.90E+11
